course_num,credits,type,SLN
me354,5,N/A,17851
me354,5,N/A,17852
me354,5,N/A,17853
me354,5,N/A,17854
me354,5,N/A,17855
me354,5,N/A,17856
me355,4,N/A,17858
me355,4,N/A,17859
me355,4,N/A,17860
me355,4,N/A,17861
me480,4,N/A,17875
me480,4,N/A,17876
me480,4,N/A,17877
me498,1,N/A,17882
fish250,3,I&S/NW,15281
fish250,3,I&S/NW,15282
fish250,3,I&S/NW,15283
fish250,3,I&S/NW,15284
fish250,3,I&S/NW,15285
fish250,3,I&S/NW,15286
fish406,5,NW,23471
fish406,5,NW,23472
fish454,5,NW,23183
fish454,5,NW,23185
fish461,4,"I&S,DIV",15298
fish474,2,NW,15301
fish474,2,NW,15302
fish493,1,N/A,15305
atms290,1,NW,10702
atms301,5,NW,10703
atms431,3,NW,10705
atms441,3,NW,10706
atms458,4,NW,10707
atms493,0,NW,10712
cenv401,2,N/A,23527
ess102,5,I&S/NW,15037
ess102,5,I&S/NW,15038
ess102,5,I&S/NW,15039
ess102,5,I&S/NW,15040
ess102,5,I&S/NW,15041
ess102,5,I&S/NW,15042
ess102,5,I&S/NW,15043
ess102,5,I&S/NW,15044
ess102,5,I&S/NW,15046
ess102,5,I&S/NW,15047
ess102,5,I&S/NW,15048
ess102,5,I&S/NW,15049
ess102,5,I&S/NW,15050
ess102,5,I&S/NW,15051
ess102,5,I&S/NW,15052
ess102,5,I&S/NW,15053
ess211,5,NW,15065
ess211,5,NW,15066
ess211,5,NW,15067
ess211,5,NW,15068
ess314,5,NW,15075
ess314,5,NW,15076
ess461,3,NW,15092
ess489,3,N/A,15100
envir100,5,I&S/NW,14856
envir100,5,I&S/NW,14857
envir100,5,I&S/NW,14859
envir100,5,I&S/NW,14863
envir239,3,I&S/NW,14877
envir250,5,"NW,QSR",14880
envir495,1,N/A,14905
bse190,1,NW,11992
bse406,5,NW,11999
bse422,4,N/A,12000
bse497,1,N/A,12004
esrm323,5,NW,14972
esrm368,4,NW,14979
esrm452,3,NW,14986
ocean101,5,NW,19599
ocean101,5,NW,19600
ocean101,5,NW,19601
ocean101,5,NW,19602
ocean250,3,I&S/NW,19633
ocean250,3,I&S/NW,19634
ocean250,3,I&S/NW,19635
ocean250,3,I&S/NW,19636
ocean250,3,I&S/NW,19637
ocean250,3,I&S/NW,19638
ocean261,2,NW,23301
ocean361,2,NW,23302
ocean461,2,NW,23303
qsci454,5,NW,23184
qsci454,5,NW,23186
info101,5,I&S/NW,16499
info101,5,I&S/NW,16500
info102,5,"I&S,DIV",16505
info102,5,"I&S,DIV",16506
info102,5,"I&S,DIV",16507
info102,5,"I&S,DIV",16508
info102,5,"I&S,DIV",16509
info102,5,"I&S,DIV",16510
info270,4,I&S,22930
info270,4,I&S,22931
info370,5,QSR,16578
info498,1,N/A,16604
bioen326,4,N/A,11449
bioen327,2,N/A,11453
bioen327,2,N/A,11454
bioen327,2,N/A,11455
bioen327,2,N/A,11456
bioen327,2,N/A,11457
bioc426,4,NW,11401
labm302,2,N/A,16981
labm302,2,N/A,16982
labm426,0,N/A,16987
microm302,2,NW,18683
microm302,2,NW,18684
microm302,2,NW,18687
microm302,2,NW,18688
microm302,2,NW,18689
microm302,2,NW,18690
microm402,3,NW,18691
microm402,3,NW,18692
microm402,3,NW,18693
microm443,3,NW,18697
microm443,3,NW,18698
nclin418,3,N/A,19246
nclin418,3,N/A,19247
socwf310,5,N/A,21442
socwf390,5,N/A,21445
socwf495,1,N/A,21455
socwf495,1,N/A,21462
socwf495,1,N/A,21463
socwf495,1,N/A,21464
